Altium Designer Pick and Place Locations
G:\Courses\ALTIUM\2024\28Pins_2024\Project Outputs for 28Pins_2024\Pick Place\Pick Place for 28Pins_PCB(5V _ 3V3).txt

========================================================================================================================
File Design Information:

Date:       24/07/24
Time:       15:26
Revision:   Not in VersionControl
Variant:    5V / 3V3
Units used: mm

Designator    Footprint              Center-X(mm) Center-Y(mm) Ref-X(mm) Ref-Y(mm) Pad-X(mm) Pad-Y(mm) Layer    Rotation Comment                  
JP3           HDR_1X4_2.54MM         14.6000      40.7900      14.6000   44.6000   14.6000   44.6000   TopLayer 0        "HDR 1x4"                
R21           R0805                  27.4000      5.8000       27.4000   5.8000    27.4000   4.8500    TopLayer 90       10k                      
R20           R0805                  67.1000      23.2000      67.1000   23.2000   67.1000   22.2500   TopLayer 90       10k                      
R19           R0805                  3.0000       28.2000      3.0000    28.2000   3.0000    29.1500   TopLayer 270      10k                      
R18           R0805                  67.1000      19.6000      67.1000   19.6000   67.1000   20.5500   TopLayer 270      10k                      
R14           R0805                  61.6000      22.6000      61.6000   22.6000   60.6500   22.6000   TopLayer 360      10k                      
R4            R0805                  9.0000       27.1000      9.0000    27.1000   9.0000    28.0500   TopLayer 270      10k                      
Z2            R0603                  7.2000       19.0000      7.2000    19.0000   7.2000    18.2500   TopLayer 90       CG0603MLC-05E            
Z1            R0603                  7.2000       21.9000      7.2000    21.9000   7.2000    22.6500   TopLayer 270      CG0603MLC-05E            
Y2            ABM7_v1_1_BIG          25.2000      29.5000      25.2000   29.5000   25.2000   27.0500   TopLayer 90       ABM7-8.000MHZ-D2Y-T      
Y1            ABM7_v1_1_BIG          43.2000      28.7000      43.2000   28.7000   45.6500   28.7000   TopLayer 180      ABM7-10.000MHZ-D2Y-T     
U7            DBV_SOT_23_5           21.9000      15.2000      21.9000   15.2000   20.5500   16.1500   TopLayer 360      SN74AHC1G09DBVR          
U6            DBV_SOT_23_5           66.1000      15.6000      66.1000   15.6000   67.0500   16.9500   TopLayer 270      SN74AHC1G09DBVR          
U5            DBV_SOT_23_5           5.8000       26.5000      5.8000    26.5000   4.8500    25.1500   TopLayer 90       SN74AHC1G09DBVR          
U4            DBV_SOT_23_5           18.2000      43.3000      18.2000   43.3000   16.8500   44.2500   TopLayer 360      SN74AHC1G09DBVR          
U3            DCQ_(R-PDSO-G6)        16.1000      14.6000      16.1000   14.6000   13.5600   11.5000   TopLayer 90       TL1963A-33DCQR           
U2            TQFP32                 15.4000      30.0000      15.4000   30.0000   19.6000   27.2000   TopLayer 180      ATMEGA16U2-AU            
U1            28_DIP_7.62MM          45.5550      16.3830      62.0650   20.1930   62.0650   20.1930   TopLayer 270      ATMEGA328P-PU            
SW2           1825910-6              22.2000      5.2250       22.2000   5.2250    24.4500   8.4750    TopLayer 0        1825910-6                
